Year; Reproduction; PopSize; chh_th; bty_th; ProbaMeet
0; 0; 0; 0; 0; 0
0; 0; 0; 50; 50; 0
50; 24; 40; 50; 50; 25
100; 13; 39; 50; 50; 5
150; 13; 39; 49; 50; 25
200; 17; 39; 49; 50; 25
250; 27; 40; 49; 51; 15
300; 13; 40; 49; 51; 20
350; 21; 40; 48; 51; 25
400; 37; 40; 47; 52; 15
450; 29; 39; 48; 52; 10
500; 35; 40; 48; 52; 5
550; 33; 40; 48; 52; 20
600; 41; 40; 48; 53; 15
650; 23; 40; 48; 53; 30
700; 23; 40; 47; 53; 20
750; 25; 40; 48; 53; 20
800; 37; 40; 48; 53; 20
850; 37; 40; 47; 52; 25
900; 31; 40; 47; 52; 35
950; 31; 40; 46; 51; 40
1000; 17; 40; 46; 51; 10
1050; 27; 39; 45; 51; 15
1100; 37; 39; 45; 52; 25
1150; 31; 40; 45; 53; 35
1200; 47; 39; 45; 52; 35
1250; 35; 40; 45; 52; 45
1300; 27; 40; 45; 52; 20
1350; 45; 40; 44; 52; 40
1400; 17; 39; 43; 52; 20
1450; 31; 39; 43; 52; 10
1500; 37; 40; 43; 52; 20
1550; 19; 40; 42; 52; 15
1600; 33; 40; 42; 52; 15
1650; 41; 40; 42; 52; 20
1700; 50; 40; 41; 51; 25
1750; 27; 40; 41; 51; 15
1800; 21; 40; 41; 51; 15
1850; 31; 40; 41; 51; 35
1900; 43; 40; 41; 51; 15
1950; 47; 40; 40; 51; 20
2000; 39; 40; 41; 51; 20
2050; 43; 40; 40; 51; 20
2100; 25; 40; 40; 52; 20
2150; 33; 40; 39; 52; 20
2200; 35; 40; 40; 53; 15
2250; 45; 40; 40; 53; 10
2300; 31; 40; 40; 54; 10
2350; 33; 40; 40; 54; 10
2400; 25; 40; 40; 54; 10
2450; 39; 40; 39; 55; 10
2500; 39; 40; 39; 55; 15
2550; 45; 40; 39; 55; 10
2600; 23; 40; 39; 55; 10
2650; 43; 39; 38; 56; 10
2700; 41; 40; 37; 56; 15
2750; 41; 40; 37; 56; 5
2800; 39; 39; 37; 57; 10
2850; 45; 40; 37; 57; 10
2900; 41; 40; 37; 57; 10
2950; 35; 40; 38; 57; 25
3000; 37; 40; 38; 57; 10
3050; 33; 40; 38; 57; 5
3100; 29; 40; 37; 57; 5
3150; 31; 40; 37; 56; 5
3200; 47; 40; 38; 56; 10
3250; 37; 40; 37; 56; 10
3300; 29; 40; 37; 57; 25
3350; 49; 40; 36; 57; 25
3400; 29; 40; 36; 58; 15
3450; 45; 40; 36; 57; 25
3500; 56; 40; 36; 57; 15
3550; 52; 40; 35; 57; 15
3600; 47; 40; 35; 57; 15
3650; 50; 40; 35; 58; 15
3700; 49; 40; 34; 58; 45
3750; 39; 40; 33; 58; 35
3800; 43; 40; 33; 58; 35
3850; 45; 40; 34; 57; 35
3900; 29; 40; 33; 57; 15
3950; 43; 40; 33; 57; 15
4000; 56; 40; 33; 58; 15
4050; 49; 40; 33; 57; 15
4100; 35; 40; 33; 58; 15
4150; 39; 40; 33; 58; 10
4200; 41; 40; 33; 58; 25
4250; 25; 40; 32; 58; 25
4300; 60; 40; 33; 58; 20
4350; 45; 40; 32; 58; 25
4400; 45; 40; 32; 58; 25
4450; 60; 40; 31; 58; 25
4500; 47; 40; 31; 58; 25
4550; 31; 40; 31; 58; 20
4600; 33; 40; 31; 58; 20
4650; 47; 40; 31; 58; 20
4700; 37; 40; 30; 58; 25
4750; 39; 40; 30; 58; 25
4800; 29; 40; 30; 58; 25
4850; 39; 40; 30; 58; 25
4900; 54; 40; 30; 59; 25
4950; 47; 40; 30; 60; 30
5000; 35; 40; 30; 60; 35
5050; 41; 40; 29; 60; 40
5100; 54; 40; 28; 59; 40
5150; 76; 40; 28; 60; 35
5200; 45; 40; 28; 60; 40
5250; 50; 40; 28; 61; 35
5300; 47; 40; 27; 61; 35
5350; 31; 40; 28; 61; 35
5400; 52; 40; 28; 61; 40
5450; 74; 40; 27; 61; 5
5500; 60; 40; 28; 62; 35
5550; 37; 40; 27; 62; 10
5600; 64; 40; 27; 63; 10
5650; 54; 40; 27; 63; 5
5700; 41; 40; 27; 62; 0
5750; 33; 40; 27; 62; 5
5800; 54; 40; 27; 62; 10
5850; 50; 40; 27; 62; 10
5900; 54; 40; 27; 63; 10
5950; 62; 40; 27; 64; 5
6000; 56; 40; 27; 63; 5
6050; 58; 40; 27; 64; 10
6100; 52; 40; 27; 64; 0
6150; 60; 40; 27; 64; 10
6200; 47; 40; 27; 64; 10
6250; 58; 40; 28; 64; 10
6300; 50; 40; 28; 64; 15
6350; 60; 40; 28; 63; 5
6400; 54; 40; 28; 63; 10
6450; 50; 40; 28; 63; 15
6500; 80; 40; 29; 64; 10
6550; 64; 40; 28; 65; 15
6600; 80; 40; 28; 65; 10
6650; 52; 40; 28; 65; 15
6700; 50; 40; 28; 65; 15
6750; 45; 40; 28; 65; 25
6800; 43; 40; 27; 66; 25
6850; 50; 40; 28; 65; 15
6900; 58; 40; 28; 65; 15
6950; 62; 40; 28; 65; 15
7000; 50; 40; 28; 65; 15
7050; 62; 40; 27; 65; 20
7100; 45; 40; 28; 65; 20
7150; 66; 40; 28; 65; 20
7200; 56; 40; 27; 65; 20
7250; 64; 40; 27; 65; 20
7300; 64; 40; 27; 65; 20
7350; 54; 40; 26; 65; 20
7400; 41; 40; 27; 66; 20
7450; 56; 40; 27; 66; 20
7500; 60; 40; 27; 66; 20
7550; 72; 40; 27; 66; 20
7600; 52; 40; 27; 66; 20
7650; 52; 40; 27; 66; 20
7700; 54; 40; 27; 66; 20
7750; 41; 40; 27; 66; 20
7800; 66; 40; 27; 67; 20
7850; 47; 40; 27; 67; 20
7900; 45; 40; 27; 67; 20
7950; 60; 40; 28; 67; 20
8000; 54; 40; 28; 67; 20
8050; 72; 40; 28; 68; 20
8100; 50; 40; 28; 69; 20
8150; 56; 40; 28; 68; 20
8200; 41; 40; 28; 69; 20
8250; 54; 40; 27; 69; 20
8300; 43; 40; 28; 69; 20
8350; 82; 40; 27; 69; 20
8400; 45; 40; 28; 69; 20
8450; 54; 40; 27; 69; 20
8500; 72; 40; 28; 68; 20
8550; 50; 40; 28; 69; 20
8600; 66; 40; 27; 69; 20
8650; 47; 40; 28; 69; 20
8700; 62; 40; 28; 69; 20
8750; 50; 40; 28; 69; 20
8800; 58; 40; 28; 68; 20
8850; 60; 40; 28; 69; 20
8900; 58; 40; 28; 69; 20
8950; 62; 40; 28; 69; 20
9000; 49; 40; 28; 69; 20
9050; 33; 40; 28; 69; 20
9100; 66; 40; 28; 69; 20
9150; 74; 40; 27; 70; 20
9200; 74; 40; 27; 70; 20
9250; 56; 40; 27; 71; 20
9300; 54; 40; 27; 71; 20
9350; 49; 40; 27; 70; 20
9400; 41; 40; 26; 70; 20
9450; 84; 40; 26; 71; 20
9500; 76; 40; 26; 71; 20
9550; 45; 40; 26; 72; 20
9600; 54; 40; 25; 72; 20
9650; 50; 40; 26; 72; 20
9700; 62; 40; 26; 72; 20
9750; 54; 40; 26; 72; 20
9800; 84; 40; 25; 72; 20
9850; 47; 40; 26; 72; 20
9900; 54; 40; 26; 71; 20
9950; 64; 40; 26; 70; 20
10000; 58; 40; 27; 71; 20
10050; 58; 40; 27; 71; 20
10100; 70; 40; 26; 72; 20
10150; 54; 40; 27; 71; 20
10200; 58; 40; 26; 71; 20
10250; 82; 40; 27; 71; 20
10300; 56; 40; 27; 72; 20
10350; 72; 40; 27; 71; 20
10400; 41; 40; 27; 71; 20
10450; 56; 40; 27; 71; 20
10500; 39; 40; 27; 71; 20
10550; 52; 40; 28; 70; 20
10600; 39; 40; 28; 70; 20
10650; 60; 40; 28; 70; 20
10700; 70; 40; 28; 69; 20
10750; 62; 40; 28; 69; 20
10800; 64; 40; 28; 69; 20
10850; 64; 40; 28; 69; 20
10900; 54; 40; 28; 70; 20
10950; 74; 40; 28; 70; 20
11000; 56; 40; 28; 69; 20
11050; 56; 40; 28; 70; 20
11100; 52; 40; 28; 70; 20
11150; 54; 40; 27; 69; 20
11200; 39; 40; 27; 69; 20
11250; 54; 40; 27; 69; 20
11300; 49; 40; 28; 69; 20
11350; 72; 40; 28; 69; 25
11400; 45; 40; 28; 70; 20
11450; 54; 40; 27; 69; 20
11500; 41; 40; 27; 69; 20
11550; 45; 40; 27; 69; 20
11600; 50; 40; 27; 70; 20
11650; 68; 40; 26; 70; 20
11700; 58; 40; 27; 69; 25
11750; 60; 40; 27; 70; 25
11800; 58; 40; 26; 70; 25
11850; 39; 40; 26; 70; 25
11900; 60; 40; 26; 69; 25
11950; 62; 40; 26; 69; 25
12000; 56; 40; 25; 69; 30
12050; 49; 40; 26; 70; 35
12100; 50; 40; 25; 70; 35
12150; 68; 40; 25; 71; 30
12200; 64; 40; 26; 72; 30
12250; 60; 40; 26; 72; 30
12300; 62; 40; 25; 72; 30
12350; 58; 40; 25; 72; 25
12400; 58; 40; 25; 72; 25
12450; 64; 40; 25; 72; 30
12500; 58; 40; 26; 72; 25
12550; 64; 40; 25; 71; 30
12600; 60; 40; 26; 71; 30
12650; 60; 40; 26; 72; 25
12700; 43; 40; 26; 72; 25
12750; 52; 40; 26; 72; 25
12800; 64; 40; 26; 72; 30
12850; 49; 40; 26; 72; 30
12900; 70; 40; 26; 72; 30
12950; 70; 40; 26; 72; 35
13000; 37; 40; 26; 72; 35
13050; 58; 40; 26; 72; 35
13100; 72; 40; 26; 72; 35
13150; 72; 40; 26; 72; 35
13200; 78; 40; 27; 72; 20
13250; 66; 40; 28; 72; 20
13300; 68; 40; 28; 72; 20
13350; 60; 40; 28; 72; 20
13400; 74; 40; 28; 72; 20
13450; 64; 40; 28; 72; 20
13500; 64; 40; 28; 73; 20
13550; 62; 40; 28; 73; 20
13600; 54; 40; 28; 73; 20
13650; 60; 40; 27; 73; 20
13700; 70; 40; 28; 73; 20
13750; 86; 40; 28; 74; 30
13800; 68; 40; 28; 74; 35
13850; 64; 40; 27; 74; 20
13900; 78; 40; 27; 74; 35
13950; 66; 40; 27; 74; 35
14000; 66; 40; 27; 74; 35
14050; 54; 40; 27; 74; 35
14100; 49; 40; 27; 74; 35
14150; 52; 40; 27; 74; 35
14200; 50; 40; 27; 74; 35
14250; 78; 40; 27; 74; 35
14300; 84; 40; 26; 74; 35
14350; 56; 40; 26; 75; 35
14400; 72; 40; 26; 75; 20
14450; 60; 40; 26; 75; 20
14500; 78; 40; 26; 75; 20
14550; 62; 40; 27; 75; 20
14600; 58; 40; 28; 75; 20
14650; 64; 40; 27; 76; 20
14700; 66; 40; 27; 76; 20
14750; 80; 40; 27; 76; 20
14800; 76; 40; 27; 76; 20
14850; 60; 40; 26; 75; 20
14900; 66; 40; 26; 75; 20
14950; 56; 40; 26; 75; 20
15000; 70; 40; 26; 76; 20
15050; 80; 40; 27; 76; 20
15100; 52; 40; 27; 76; 20
15150; 56; 40; 27; 76; 20
15200; 47; 40; 27; 76; 20
15250; 68; 40; 26; 76; 20
15300; 54; 40; 26; 76; 20
15350; 47; 40; 25; 76; 20
15400; 54; 40; 27; 76; 20
15450; 64; 40; 27; 76; 20
15500; 56; 40; 27; 75; 20
15550; 49; 40; 26; 76; 20
15600; 56; 40; 26; 76; 20
15650; 43; 40; 26; 76; 20
15700; 82; 40; 27; 76; 35
15750; 70; 40; 26; 76; 30
15800; 52; 40; 27; 76; 20
15850; 64; 40; 26; 77; 20
15900; 66; 40; 26; 77; 20
15950; 41; 40; 26; 77; 30
16000; 60; 40; 27; 77; 35
16050; 68; 40; 27; 77; 20
16100; 58; 40; 27; 77; 35
16150; 54; 40; 26; 78; 35
16200; 80; 40; 26; 78; 45
16250; 43; 40; 26; 78; 45
16300; 50; 40; 25; 78; 45
16350; 56; 40; 25; 78; 20
16400; 60; 40; 25; 78; 20
16450; 72; 40; 25; 78; 20
16500; 68; 40; 26; 78; 20
16550; 62; 40; 26; 78; 45
16600; 56; 40; 26; 78; 45
16650; 56; 40; 26; 78; 45
16700; 66; 40; 27; 78; 40
16750; 64; 40; 26; 78; 40
16800; 66; 40; 26; 78; 45
16850; 64; 40; 26; 78; 40
16900; 64; 40; 26; 78; 45
16950; 50; 40; 26; 77; 45
17000; 58; 40; 27; 77; 45
17050; 50; 40; 27; 78; 45
17100; 64; 40; 27; 77; 45
17150; 52; 40; 27; 77; 45
17200; 64; 40; 27; 77; 45
17250; 60; 40; 28; 78; 45
17300; 58; 40; 28; 78; 45
17350; 64; 40; 27; 78; 45
17400; 66; 40; 27; 78; 45
17450; 47; 40; 27; 78; 40
17500; 56; 40; 27; 78; 45
17550; 52; 40; 27; 78; 45
17600; 56; 40; 28; 78; 45
17650; 70; 40; 28; 78; 45
17700; 72; 40; 29; 78; 45
17750; 80; 40; 28; 78; 45
17800; 76; 40; 28; 78; 50
17850; 94; 40; 27; 78; 50
17900; 62; 40; 26; 78; 55
17950; 56; 40; 26; 78; 55
18000; 66; 40; 26; 78; 55
18050; 50; 40; 27; 77; 55
18100; 64; 40; 27; 77; 55
18150; 68; 40; 27; 77; 50
18200; 84; 40; 27; 77; 50
18250; 60; 40; 27; 77; 50
18300; 54; 40; 28; 77; 55
18350; 60; 40; 27; 77; 50
18400; 47; 40; 27; 77; 45
18450; 70; 40; 27; 77; 50
18500; 66; 40; 27; 77; 50
18550; 43; 40; 28; 77; 20
18600; 41; 40; 27; 77; 20
18650; 47; 40; 27; 77; 45
18700; 96; 40; 28; 77; 20
18750; 72; 40; 28; 77; 20
18800; 52; 40; 28; 77; 20
18850; 70; 40; 28; 77; 20
18900; 52; 40; 29; 77; 20
18950; 41; 40; 28; 77; 20
19000; 70; 40; 28; 77; 20
19050; 58; 40; 28; 77; 20
19100; 66; 40; 28; 77; 20
19150; 43; 40; 27; 78; 20
19200; 66; 40; 27; 78; 20
19250; 66; 40; 27; 78; 20
19300; 68; 40; 28; 78; 20
19350; 60; 40; 28; 78; 20
19400; 70; 40; 29; 78; 20
19450; 68; 40; 29; 78; 20
19500; 70; 40; 28; 78; 20
19550; 39; 40; 28; 79; 20
19600; 82; 40; 28; 79; 20
19650; 60; 40; 28; 79; 20
19700; 54; 40; 27; 79; 55
19750; 54; 40; 27; 78; 20
19800; 60; 40; 27; 79; 20
19850; 64; 40; 27; 79; 20
19900; 66; 40; 27; 79; 55
19950; 60; 40; 27; 79; 35
